Fecha,ID_de_trampa,Zona,Coordenada_Este,Coordenada_Norte,Responsable_de_captura,Otros_responsables,Longitud_total,Longitud_de_cola,Altura,Sexo,Edad,Color,Patron,Gris,Negro,Pardo,Amarillo,Naranja,Blanco,Peso,Condicion_corporal,Altitud,Fase,Estado_de_salud,Estado_reproductivo,Contenido_estomacal_notas,Contenido_estomacal_plumas,Contenido_estomacal_pelos,Contenido_estomacal_insectos,Contenido_estomacal_plantas,Contenido_estomacal_desperdicios,Contenido_estomacal_inorganico,Observaciones
26/Ene/2018,TC-01-104-TR,1,377305,3198974,NA,NA,72.5,28,24,H,adulto,gris tigre,atigrado,1,0,0,0,0,0,3.4,NA,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
03/Feb/2018,TC-01-111-SF,1,376112,3199157,NA,NA,73,29,25,M,adulto,negro,solido,0,1,0,0,0,0,2.8,NA,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
03/Feb/2018,TC-01-111-SF,1,378349,3198356,NA,NA,77,28,27.5,M,adulto,café tigre,atigrado,0,0,1,0,0,0,3.3,NA,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08/Feb/2018,TC-01-106-SF,1,378349,3198356,NA,NA,71,25,24,H,adulto,amarillo/negro,bicolor,0,1,0,1,0,0,2.5,NA,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08/Feb/2018,TC-01-096-TR,1,377305,3198974,NA,NA,69,23,22.5,H,juvenil,gris tigre,atigrado,1,0,0,0,0,0,2,NA,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08/Feb/2018,TC-01-102-TR,1,375619,3199032,NA,NA,79,28,26,M,adulto,negro,solido,0,1,0,0,0,0,3,NA,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18/Feb/2018,TC-01-113-SF,1,376372,3199292,NA,NA,71,26,25.5,H,adulto,gris tigre,atigrado,1,0,0,0,0,0,3.2,NA,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19/Feb/2018,TC-01-118-SF,1,378713,3198181,NA,NA,68,25,24,H,adulto,gris tigre,atigrado,1,0,0,0,0,0,3,NA,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/Feb/2018,TC-01-122-SF,1,378265,3198158,NA,NA,76,29,26,H,adulto,gris tigre,atigrado,1,0,0,0,0,0,3.5,NA,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/Feb/2018,TC-01-036-AG,1,377507,3198580,NA,NA,71,24,24,H,juvenil,gris tigre,atigrado,1,0,0,0,0,0,3,NA,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
